simulation_mode,ticks,who,breed,energy,wealth,operational_capacity,operational_cost,production_rate,environmental_concern,economic_priority,innovation_level,cooperation_tendency,byproduct_utilization,capacity_utilization,region_type,resource_type,resource_quality,pollution_level,residue_generated_type,residue_used_type,reputation,network_position
0,0,3,recyclers,19.94,100,19,1.9,0.84,0.82,0.48,0.77,0.58,0.88,0.65,waste-zone,new,0.11631843163772027,7,low-toxicity,mixed,0.82,0
0,0,1,recyclers,19.93,100,19,1.9,0.83,0.98,0.64,0.7,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1,0
0,0,5,wastefuls,21.93,100,25.2,2,0.96,0.22,0.99,0.38,0.24,0.31,0.71,natural,recycled,0.4592473750242272,16,high-toxicity,none,0.07,0
0,0,8,wastefuls,28.96,100,21,1,0.96,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,1,high-toxicity,none,0.51,0
0,0,0,recyclers,19.81,100,17,3.8,0.91,0.73,0.63,0.87,0.56,0.96,0.99,natural,new,0.47707670540381597,17,low-toxicity,mixed,0.55,0
0,0,2,recyclers,19.87,100,13,2.85,0.97,0.82,0.5,0.61,0.68,0.86,0.93,industrial,new,0.3046270230007858,5,low-toxicity,mixed,0.41,0
0,0,9,wastefuls,21.95,100,18.9,1,0.94,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,11,high-toxicity,none,0.19,0
0,0,4,recyclers,24.9,100,17,3,0.82,0.71,0.44,0.89,0.91,0.7,0.67,natural,new,0.6143403527775264,16,low-toxicity,mixed,0.01,0
0,0,7,wastefuls,24.91,100,24,2,0.93,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,19,high-toxicity,none,0.56,0
0,0,6,wastefuls,24.92,100,21,2,0.91,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,3,high-toxicity,none,0.5,0
0,1,9,wastefuls,21.9,100,18.9,1,0.94,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,11,high-toxicity,none,0.19,0
0,1,8,wastefuls,28.92,100,21,1,0.96,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,1,high-toxicity,none,0.51,0
0,1,6,wastefuls,21.83,100,22.05,2,0.93,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,8,high-toxicity,none,0.5,0
0,1,0,recyclers,19.63,100,17,3.8,0.91,0.73,0.63,0.87,0.56,0.96,0.99,natural,new,0.47707670540381597,17,low-toxicity,mixed,0.55,0
0,1,2,recyclers,19.74,100,13,2.85,0.97,0.82,0.5,0.61,0.68,0.86,0.93,industrial,new,0.3046270230007858,5,low-toxicity,mixed,0.41,0
0,1,5,wastefuls,21.86,100,25.2,2,0.96,0.22,0.99,0.38,0.24,0.31,0.71,natural,recycled,0.4592473750242272,16,high-toxicity,none,0.07,0
