simulation_mode,ticks,total_new_resources,total_recycled_resources,total_waste,global_pollution_level,market_price_waste,market_price_resource,total_transactions,average_transaction_price,recycling_efficiency,waste_reduction_rate,network_density,average_node_degree,centrality_index,api_requests_made,total_agent_count,recycler_count,wasteful_count
0,0,963,193,69,9.42,0.51,1.03,0,3.96,0.721,0.1,0,0,0,10,10,5,5
0,1,978,178,69,9.43,0.48,1.03,0,3.96,0.721,0.1,0,0,0,20,10,5,5
0,2,992,164,69,9.43,0.5,0.99,0,3.96,0,0.1,0,0,0,30,10,5,5
0,3,995,159,71,9.44,0.49,0.97,0,3.96,0,0.1,0,0,0,40,10,5,5
0,4,1004,151,70,9.45,0.51,1,0,3.96,0,0.1,0,0,0,50,10,5,5
0,5,1014,141,70,9.45,0.48,0.96,0,3.96,0,0.1,0,0,0,60,10,5,5
0,6,1017,137,71,9.46,0.5,0.95,0,3.96,0,0.1,0,0,0,70,10,5,5
0,7,1026,128,71,9.47,0.49,0.97,0,3.96,0,0.1,0,0,0,80,10,5,5
0,8,1035,119,71,9.47,0.49,0.96,0,3.96,0,0.1,0,0,0,90,10,5,5
0,9,1044,111,70,9.48,0.5,1,0,3.96,0,0.1,0,0,0,100,10,5,5
0,10,1051,103,71,9.48,0.51,1.04,0,3.96,0,0.1,0,0,0,110,10,5,5
0,11,1057,98,70,9.48,0.51,1,0,3.96,0,0,0,0,0,120,10,5,5
0,12,1064,92,69,9.49,0.49,1,0,3.96,0,0,0,0,0,130,10,5,5
0,13,1074,81,70,9.49,0.68,1.09,0,3.96,0,0,0,0,0,140,10,5,5
0,14,1076,78,71,9.49,0.78,1.28,0,3.96,0,0,0,0,0,150,10,5,5
0,15,1079,77,69,9.5,0.85,1.29,0,3.96,0,0,0,0,0,160,10,5,5
0,16,1082,74,69,9.5,0.94,1.46,0,3.96,0,0,0,0,0,170,10,5,5
0,17,1086,70,69,9.5,1.04,1.6,0,3.96,0,0,0,0,0,180,10,5,5
0,18,1091,67,67,9.51,1.07,1.8,0,3.96,0,0,0,0,0,190,10,5,5
0,19,1095,64,66,9.52,1.2,1.94,0,3.96,0,0,0,0,0,200,10,5,5
0,20,1099,60,66,9.52,1.27,2.15,0,3.96,0,0,0,0,0,210,10,5,5
0,21,1103,57,65,9.52,1.44,2.36,0,3.96,0,0,0,0,0,220,10,5,5
0,22,1105,56,64,9.52,1.38,2.35,0,3.96,0,0,0,0,0,230,10,5,5
0,23,1111,50,64,9.52,1.57,2.8,0,3.96,0,0,0,0,0,240,10,5,5
0,24,1113,48,64,9.53,1.61,2.68,0,3.96,0,0,0,0,0,250,10,5,5
0,25,1119,43,63,9.54,1.83,3.16,0,3.96,0,0,0,0,0,260,10,5,5
0,26,1120,43,62,9.54,1.75,2.99,0,3.96,0,0,0,0,0,270,10,5,5
0,27,1125,40,60,9.54,1.96,3.05,0,3.96,0,0,0,0,0,280,10,5,5
0,28,1131,35,59,9.54,2.04,3.26,0,3.96,0,0,0,0,0,290,10,5,5
0,29,1133,33,59,9.54,2.15,3.62,0,3.96,0,0,0,0,0,300,10,5,5
0,30,1135,31,59,9.55,2.21,3.7,0,3.96,0,0,0,0,0,310,10,5,5
0,31,1137,29,59,9.56,2.23,3.64,0,3.96,0,0,0,0,0,320,10,5,5
0,32,1141,25,59,9.56,2.27,4.04,0,3.96,0,0,0,0,0,330,10,5,5
0,33,1143,23,59,9.56,2.32,4.07,0,3.96,0,0,0,0,0,340,10,5,5
0,34,1144,22,59,9.56,2.35,4.12,0,3.96,0,0,0,0,0,350,10,5,5
0,35,1145,21,59,9.56,2.47,4.03,0,3.96,0,0,0,0,0,360,10,5,5
0,36,1146,20,59,9.57,2.57,4.32,0,3.96,0,0,0,0,0,370,10,5,5
0,37,1146,20,59,9.58,2.44,3.98,0,3.96,0,0,0,0,0,380,10,5,5
0,38,1146,20,59,9.59,2.54,4.14,0,3.96,0,0,0,0,0,390,10,5,5
0,39,1148,19,58,9.59,2.47,4.07,0,3.96,0,0,0,0,0,400,10,5,5
0,40,1153,17,55,9.59,2.62,4.5,0,3.96,0,0,0,0,0,410,10,5,5
0,41,1154,17,54,9.59,2.5,4.32,0,3.96,0,0,0,0,0,420,10,5,5
0,42,1154,17,54,9.6,2.41,4.52,0,3.96,0,0,0,0,0,430,10,5,5
0,43,1157,16,52,9.6,2.58,4.47,0,3.96,0,0,0,0,0,440,10,5,5
0,44,1156,16,53,9.6,2.51,4.3,0,3.96,0,0,0,0,0,450,10,5,5
0,45,1158,15,52,9.61,2.5,4.55,0,3.96,0,0,0,0,0,460,10,5,5
0,46,1158,15,52,9.61,2.45,4.44,0,3.96,0,0,0,0,0,470,10,5,5
0,47,1158,15,52,9.61,2.52,4.47,0,3.96,0,0,0,0,0,480,10,5,5
0,48,1158,15,52,9.62,2.65,4.24,0,3.96,0,0,0,0,0,490,10,5,5
0,49,1158,15,52,9.62,2.59,4.31,0,3.96,0,0,0,0,0,500,10,5,5
