simulation_mode,ticks,pxcor,pycor,resource_type,resource_quality,pollution_level,region_type,cost_to_extract,carrying_capacity,regeneration_rate,pollution_sensitivity,last_changed,agent_present,agent_type
simulation_mode,tick,pxcor,pycor,resource_type,resource_quality,pollution_level,region_type,cost_to_extract,carrying_capacity,regeneration_rate,pollution_sensitivity,agent_present,agent_type
0,0,12,16,new,0.32,0,waste-zone,4.24,92,1.993,0.87,false,none
0,0,-10,11,recycled,0.31,4,waste-zone,1.51,70,1.9237,0.77,false,none
0,0,2,-15,new,0.24,11,natural,3.77,52,1.7649,0.79,false,none
0,0,10,13,new,high,2,waste-zone,1.38,66,1.1532,0.75,false,none
0,0,-3,-9,new,0.28,17,waste-zone,1.62,55,1.6459,0.97,false,none
0,0,-8,-6,new,0.61,4,waste-zone,1.6,85,0.5779,0.72,false,none
0,0,4,3,new,0.22,17,natural,3.93,83,1.0089,0.98,false,none
0,0,-3,1,recycled,0.13,19,waste-zone,4.14,57,1.0565,0.88,false,none
0,0,3,-16,new,0.91,4,industrial,3.25,76,1.7362,0.78,false,none
0,0,-14,7,new,0.36,7,waste-zone,2.12,78,1.0788,0.82,false,none
0,0,1,-7,new,0.06,11,industrial,2.5,99,1.2725,0.56,false,none
0,0,4,16,new,0.99,15,natural,2.16,79,0.9744,0.59,false,none
0,0,13,-10,recycled,0.09,10,natural,1.93,80,1.4386,0.84,false,none
0,0,-9,-13,new,0.12,15,natural,3.03,74,0.9268,0.93,false,none
0,0,-14,-17,new,0.96,8,natural,4.1,89,0.8382,0.51,false,none
0,0,3,-12,new,0.6,16,waste-zone,3.97,81,1.6424,0.87,false,none
0,0,16,-7,new,0.03,9,waste-zone,4.29,83,1.6404,0.98,false,none
0,0,-16,10,new,0.22,15,waste-zone,3.45,90,1.2067,0.52,false,none
0,0,-11,17,new,0.11,7,natural,2.99,82,1.2463,0.7,false,none
0,0,13,1,waste,low,12,industrial,2.98,63,0.837,0.94,false,none
0,0,17,10,new,0.27,3,waste-zone,1.14,76,1.5019,0.9,false,none
0,0,-16,17,new,0.72,9,waste-zone,2.92,55,1.4035,0.69,false,none
0,0,0,1,new,0.41,13,natural,1.26,96,1.2917,0.79,false,none
0,0,8,13,new,0.97,0,industrial,4.07,94,1.3342,0.84,false,none
0,0,17,5,new,0.03,19,industrial,2.3,87,1.1731,0.98,false,none
0,0,1,-5,waste,low,5,industrial,4.79,56,1.6544,0.82,false,none
0,0,-17,2,new,0.73,6,industrial,4.88,83,0.898,0.66,false,none
0,0,-15,7,new,0.84,15,industrial,2.47,81,0.8986,0.78,false,none
0,0,-14,-10,new,0.16,0,natural,4.34,95,1.7112,0.82,false,none
0,0,-7,14,new,0.35,11,natural,2.46,72,1.5506,0.53,false,none
0,0,-6,4,new,0.59,1,waste-zone,2.53,71,1.97,0.98,false,none
0,0,7,-11,new,0.56,15,waste-zone,4.95,99,1.1236,0.74,false,none
0,0,-8,11,new,0.46,11,industrial,1.92,66,1.6659,0.82,false,none
0,0,-14,-15,new,0.6,7,industrial,2.44,88,1.7435,0.91,false,none
0,0,5,13,new,0.67,12,natural,1.34,99,1.1985,0.67,false,none
0,0,-4,13,new,0.91,4,natural,2.49,50,0.924,0.94,false,none
0,0,8,12,new,0.36,9,waste-zone,4.22,77,0.8036,0.99,false,none
0,0,13,16,new,0.33,5,waste-zone,2.92,71,1.5441,0.88,false,none
0,0,-11,-6,new,0.38,1,waste-zone,4.05,65,0.5149,0.92,false,none
0,0,-8,10,waste,low,4,waste-zone,3.54,79,0.6549,0.57,false,none
0,0,13,-4,new,0.14,14,natural,2.22,54,0.9602,0.81,false,none
0,0,14,9,new,0.15,13,natural,2.89,81,0.7807,0.74,false,none
0,0,-15,6,new,0.46,10,waste-zone,3.18,56,1.2437,0.97,false,none
0,0,-6,-6,new,0.93,13,industrial,3.24,53,1.6676,0.84,false,none
0,0,8,-1,new,0.12,19,waste-zone,2.28,73,0.5348,0.81,false,none
0,0,-11,0,new,0.5,10,industrial,4.05,70,1.3854,0.52,false,none
0,0,0,16,new,0.46,16,natural,2.05,53,1.8988,0.9,false,none
0,0,-5,-15,new,0.64,10,industrial,4.62,56,1.5502,0.61,false,none
0,0,5,9,waste,low,11,waste-zone,3.19,69,0.8648,0.64,false,none
0,0,14,17,new,0.03,2,industrial,4.11,80,0.627,0.86,false,none
0,0,1,-6,recycled,0.23,9,industrial,3.38,87,1.032,0.83,false,none
0,0,-9,-17,new,0.28,16,industrial,4.61,60,1.8775,0.53,false,none
