simulation_mode,ticks,pxcor,pycor,resource_type,resource_quality,pollution_level,region_type,cost_to_extract,carrying_capacity,regeneration_rate,pollution_sensitivity,last_changed,agent_present,agent_type
simulation_mode,tick,pxcor,pycor,resource_type,resource_quality,pollution_level,region_type,cost_to_extract,carrying_capacity,regeneration_rate,pollution_sensitivity,agent_present,agent_type
0,0,-10,9,new,0.8,9,waste-zone,2.88,94,0.5405,0.79,false,none
0,0,-10,-2,new,0.95,13,industrial,4.38,65,1.0051,0.98,false,none
0,0,-8,-3,recycled,0.39,2,industrial,2.51,54,1.1683,0.9,false,none
0,0,-7,0,waste,low,6,waste-zone,1.85,54,1.7562,0.61,false,none
0,0,-2,-1,new,0.77,19,natural,1.43,92,1.7223,0.73,false,none
0,0,10,16,waste,0.8,1,natural,1.5,64,0.5573,0.64,true,wastefuls
0,0,10,8,new,0.34,18,waste-zone,3.33,76,1.6899,0.84,false,none
0,0,-10,-14,new,0.69,11,industrial,4.1,80,1.7114,0.58,false,none
0,0,6,-11,new,0.06,9,waste-zone,3.91,83,1.2145,0.6,false,none
0,0,-8,-10,new,0.36,7,waste-zone,1.51,83,0.6587,0.92,false,none
0,0,-8,7,new,0.1,11,industrial,3.86,99,0.74,0.66,false,none
0,0,-17,6,new,0.52,18,waste-zone,3.88,66,0.5092,0.87,false,none
0,0,-16,-8,new,0.05,2,industrial,1.82,75,0.5098,0.64,false,none
0,0,-15,-6,new,0.59,18,natural,1.25,67,1.1627,0.64,false,none
0,0,-7,16,waste,low,16,waste-zone,2.79,90,1.5767,0.77,false,none
0,0,-13,5,new,0.11,6,waste-zone,1.02,56,1.5393,0.85,false,none
0,0,-11,1,new,0.92,9,industrial,2.92,51,1.8862,0.86,false,none
0,0,7,12,new,0.08,12,natural,3.94,50,1.9354,0.93,false,none
0,0,12,0,new,0.09,9,industrial,3.17,52,1.9436,0.95,false,none
0,0,-4,-8,recycled,0.74,6,industrial,3.49,55,1.3366,0.83,false,none
0,0,17,6,waste,high,18,industrial,3.53,64,1.4128,0.89,false,none
0,0,4,-1,new,0.85,10,natural,2.97,80,0.7934,0.98,false,none
0,0,10,-15,new,0.54,5,natural,2.69,58,0.6323,0.91,false,none
0,0,0,-4,new,0.09,3,natural,3.79,81,1.7128,0.63,false,none
0,0,-10,-6,new,0.59,6,industrial,2.97,92,1.9156,0.59,false,none
0,0,15,-12,new,0.18,0,industrial,1.9,83,1.6423,0.97,false,none
0,0,16,-7,new,0.46,1,waste-zone,1.33,90,1.5011,0.99,false,none
0,0,-2,-14,new,0.46,7,waste-zone,2.9,98,0.5672,0.95,false,none
0,0,-10,-11,new,0.73,9,natural,2.97,89,0.814,0.95,false,none
0,0,12,-5,new,0.73,16,waste-zone,4.07,96,1.0631,0.82,false,none
0,0,-16,4,new,0.38,12,industrial,4.24,85,0.5658,0.82,false,none
0,0,-5,-14,waste,low,5,natural,3.19,56,1.8833,0.53,false,none
0,0,15,-1,new,0.85,0,industrial,4.71,51,0.507,0.67,false,none
0,0,-5,-10,new,0.58,16,industrial,4.38,87,1.7891,0.83,false,none
0,0,6,-4,waste,low,6,waste-zone,4.93,66,1.6426,0.94,false,none
0,0,2,4,new,0.18,0,natural,2.83,53,0.5898,0.67,false,none
0,0,-8,3,recycled,0.51,15,natural,2.71,60,0.8268,0.82,false,none
0,0,-1,12,new,0.9,2,waste-zone,1.01,53,1.5263,0.72,false,none
0,0,6,6,new,0.02,6,waste-zone,2.63,74,1.6268,0.61,false,none
0,0,14,-14,new,0.42,0,industrial,1.2,75,0.9987,0.78,false,none
0,0,10,15,new,0.97,9,waste-zone,4.29,65,1.0886,0.8,false,none
0,0,3,-6,new,0.16,18,industrial,1.95,59,1.7672,0.67,false,none
0,0,-9,-9,new,0.37,8,natural,1.47,93,1.681,0.88,false,none
0,0,-5,15,new,0.43,12,industrial,2.16,87,1.4377,0.77,false,none
0,0,2,-5,recycled,0.98,11,natural,3.72,66,1.3053,0.86,false,none
